,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
5450,1,0,1,1,0,0,1,1,0,1,1,1,2
9146,0,0,1,1,1,0,1,1,1,0,1,0,0
7173,1,0,1,1,0,0,1,1,0,1,1,1,2
9571,1,0,0,1,1,0,1,1,0,0,1,0,0
817,1,1,1,1,0,0,1,0,0,1,1,0,0
10984,0,0,1,1,0,0,1,1,0,0,1,0,0
5319,1,0,1,1,0,0,1,0,0,0,1,1,3
15471,1,0,1,1,0,0,1,0,0,0,1,1,2
7558,0,0,1,1,0,0,1,1,0,0,1,0,0
14234,0,0,1,1,0,0,1,1,0,0,1,0,0
6065,1,0,1,1,0,0,1,1,0,0,1,1,3
16996,1,0,1,1,0,0,1,1,0,0,1,1,0
18918,0,0,1,1,1,0,0,1,1,0,0,0,3
8011,1,0,1,1,0,0,1,1,0,1,1,1,0
10120,1,1,1,1,0,0,1,1,0,1,1,1,3
14315,0,0,1,1,0,0,1,1,0,0,1,0,3
677,0,0,1,1,0,0,1,1,1,0,1,0,0
8932,1,0,1,1,0,0,1,1,0,0,1,1,3
2748,1,0,1,1,0,0,1,0,0,1,1,0,3
14042,0,0,1,1,0,0,1,1,0,0,1,0,0
9540,1,0,1,1,0,0,1,1,0,0,1,0,0
3249,0,1,1,1,0,0,1,1,1,0,1,1,3
1782,0,0,1,1,0,0,1,1,1,0,1,1,0
5238,0,0,1,1,0,0,1,1,1,0,1,0,0
11011,1,0,1,1,0,0,1,1,0,1,1,1,0
2876,1,0,1,1,0,0,1,0,0,0,1,0,3
17445,1,0,1,1,0,0,1,1,0,1,1,1,3
18822,0,0,1,1,0,0,0,1,0,0,1,0,3
16744,1,0,1,1,0,0,1,1,0,0,0,1,2
18770,0,0,1,1,0,0,0,1,0,0,1,0,0
4192,1,0,1,1,0,0,1,1,0,0,1,1,0
3678,1,0,1,1,0,0,1,0,0,0,1,1,3
3872,1,0,0,1,0,0,1,1,0,0,1,0,3
16469,1,0,0,1,1,0,1,1,0,0,1,0,0
16106,1,1,1,1,0,0,1,1,0,0,1,1,2
17479,1,0,1,1,0,0,1,1,0,1,1,1,1
7458,1,0,1,1,0,0,1,1,0,1,1,1,3
1436,0,0,1,1,0,0,1,1,0,0,1,0,0
16223,0,0,1,1,0,0,1,1,0,0,1,0,0
16837,1,0,1,1,0,0,1,1,0,0,1,1,3
11508,0,1,1,1,0,0,1,1,1,0,1,1,0
19034,0,0,1,1,1,0,0,1,0,0,0,0,3
6383,1,0,1,1,0,0,1,1,0,0,1,1,3
14595,0,0,1,1,0,0,1,1,0,0,1,0,3
14926,1,0,1,1,0,0,1,1,0,0,1,1,4
1841,0,0,1,1,0,0,1,1,0,0,1,0,2
12735,1,1,1,1,0,0,1,0,0,0,1,1,0
7142,0,0,1,1,0,0,1,1,0,0,1,0,0
4176,1,0,1,1,0,0,1,1,0,0,1,1,1
14185,1,0,0,1,0,0,1,1,0,0,1,0,0
16072,0,0,1,1,1,0,1,1,0,0,1,0,0
6689,1,0,1,1,0,0,1,1,0,1,1,1,2
8920,1,0,1,1,0,0,1,0,0,0,0,0,0
13611,0,0,1,1,0,0,1,1,0,0,1,0,3
10728,1,1,1,1,0,0,1,1,0,0,1,1,3
15243,1,0,1,1,0,0,1,1,0,0,1,1,3
14383,0,0,1,1,0,0,1,1,1,0,1,0,3
14649,0,0,1,1,0,0,1,1,0,0,1,0,0
11274,0,0,1,1,0,0,1,1,0,0,1,0,2
3250,0,0,1,1,0,0,1,1,1,0,1,0,0
6254,1,0,1,1,0,0,1,1,0,0,1,1,0
3608,1,0,1,1,0,0,1,1,0,0,1,1,3
12003,1,0,1,1,0,0,1,1,0,0,1,1,2
1744,1,0,1,1,0,0,1,1,0,1,1,1,3
17640,1,0,1,1,0,0,1,1,0,1,1,1,1
12736,1,0,1,1,0,0,1,0,0,0,1,1,0
8267,0,0,1,1,0,0,1,1,0,0,1,0,0
14934,1,0,1,1,0,0,1,1,0,1,1,1,3
13865,1,0,1,1,0,0,1,1,0,0,0,1,3
14559,1,0,1,1,0,0,1,1,0,0,1,0,0
2134,0,0,1,1,0,0,1,1,0,0,1,0,3
6828,1,0,1,1,0,0,1,1,0,0,1,1,0
16310,1,0,1,1,0,0,1,0,0,0,0,0,3
12780,1,0,0,1,0,0,1,1,0,0,1,0,0
8729,1,0,1,1,0,0,1,0,0,0,1,0,3
19038,1,0,0,1,0,0,0,0,0,0,1,0,3
3393,1,0,1,1,0,0,1,0,0,0,1,1,0
2763,1,1,1,1,0,0,1,1,1,0,1,1,3
18375,0,0,1,1,0,0,0,1,0,0,1,0,2
15950,0,0,1,1,0,0,1,1,0,0,1,0,3
15619,1,0,1,1,0,0,1,1,0,0,1,1,1
4288,0,0,1,1,1,0,1,1,1,0,1,0,0
11945,0,0,1,1,0,0,1,1,0,0,1,0,3
16618,0,0,1,1,0,0,1,1,1,0,1,0,2
8791,1,0,1,1,0,0,1,1,0,0,1,1,2
3647,0,0,1,1,0,0,1,1,0,0,1,0,1
5597,1,0,1,1,0,0,1,0,0,1,0,0,2
14783,1,0,1,1,0,0,1,1,0,0,1,0,0
