,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
711,1,0,1,1,0,0,1,1,0,0,1,0,4
5160,1,0,1,1,0,0,1,1,0,0,1,1,3
18292,1,0,1,1,0,0,1,1,0,0,0,1,0
7311,1,0,0,1,0,0,1,1,0,0,1,0,3
2097,1,0,1,1,0,0,1,0,0,0,1,0,3
3129,1,0,1,1,0,0,1,0,0,1,1,1,3
13431,0,0,1,1,0,0,1,1,0,0,1,0,2
14748,0,0,1,1,0,0,1,1,0,0,1,0,0
3558,0,0,1,1,1,0,1,1,0,0,1,0,3
17650,1,0,1,1,0,0,1,0,0,0,1,0,3
3687,1,0,1,1,0,0,1,1,0,0,1,0,3
8416,0,0,1,1,0,0,1,1,1,0,1,0,0
12635,1,0,1,1,0,0,1,1,0,0,1,1,0
2844,1,0,0,1,0,0,1,1,1,0,1,0,3
9957,1,0,1,1,0,0,1,1,0,1,1,1,2
10437,1,0,1,1,0,0,1,1,0,1,1,1,2
12459,0,0,1,1,0,0,1,1,1,0,1,0,0
14987,0,0,1,1,0,0,1,1,0,0,1,0,0
15913,0,0,1,1,0,0,1,1,0,0,1,0,0
3018,0,0,1,1,0,0,1,1,0,0,1,0,3
4115,1,0,1,1,0,0,1,0,0,0,1,1,3
10261,0,0,0,1,0,0,1,1,1,0,1,0,0
3325,0,0,1,1,0,0,1,1,1,0,1,0,2
13336,1,0,0,1,0,0,1,1,0,1,1,0,0
17432,1,0,1,1,0,0,1,1,0,0,1,1,3
14101,0,0,1,1,0,0,1,1,0,0,1,0,0
5668,1,0,1,1,0,0,1,1,0,0,0,0,3
3928,0,0,1,1,0,0,1,1,0,0,1,0,0
17141,0,1,1,1,0,0,1,1,1,1,1,1,2
18924,1,0,1,1,0,0,0,1,0,0,1,1,3
133,1,0,1,1,0,0,1,1,0,1,1,1,3
4015,0,0,1,1,1,0,1,1,0,0,1,0,3
8964,1,0,1,1,0,0,1,1,0,0,1,1,2
9686,0,0,1,1,0,0,1,1,0,0,1,0,0
7356,1,0,1,1,0,0,1,0,0,1,1,0,0
4254,1,0,1,1,0,0,1,0,0,1,1,1,3
17103,1,0,1,1,0,0,1,0,0,0,1,1,3
15611,1,0,1,1,0,0,1,1,0,1,1,1,2
1838,0,0,1,1,0,0,1,1,0,0,1,0,0
1033,0,0,1,1,0,0,1,1,1,0,1,0,3
7947,0,0,1,1,0,0,1,1,0,0,1,0,0
2043,1,0,1,1,0,0,1,1,0,0,1,0,0
1772,0,1,1,1,0,0,1,1,1,0,1,1,2
16366,1,0,0,1,0,0,1,1,1,0,1,0,3
10497,1,0,0,1,0,0,1,1,0,0,1,0,0
1496,0,0,1,1,0,0,1,1,0,0,1,0,0
494,1,0,1,1,0,0,1,1,0,0,1,1,0
5845,1,0,1,1,0,0,1,1,0,0,1,1,2
11340,1,0,0,1,0,0,1,1,0,1,1,1,3
17007,1,0,1,1,0,0,1,1,0,1,1,1,0
17269,1,0,1,1,0,0,1,0,0,1,1,1,2
14470,0,0,1,1,0,0,1,1,0,0,1,0,3
18206,0,1,0,1,0,0,1,1,0,0,0,0,0
14350,1,0,1,1,0,0,1,1,0,1,1,1,2
15722,0,0,1,1,0,0,1,1,0,0,1,0,3
7541,0,1,1,1,0,0,1,1,0,0,1,1,2
7780,0,1,1,1,0,0,1,1,1,0,1,1,0
8005,1,0,0,1,0,0,1,1,0,1,1,1,3
5733,1,1,1,1,0,0,1,1,0,1,1,1,0
6839,1,0,1,1,0,0,1,1,0,1,1,1,3
15608,0,0,1,1,0,0,1,1,0,0,1,0,0
7251,1,1,1,1,0,0,1,1,0,1,1,1,3
7339,1,0,1,1,0,0,1,1,0,1,1,1,3
18834,1,0,0,1,0,0,0,1,0,0,0,0,0
14570,0,1,1,1,0,0,1,1,1,0,1,1,0
8196,1,0,0,1,0,0,1,1,0,1,1,1,2
6115,0,0,1,0,0,0,1,1,0,0,1,0,0
3674,1,0,1,1,0,0,1,0,0,0,1,1,3
4638,1,0,0,0,0,0,1,1,0,0,1,0,3
14194,0,0,1,1,0,0,1,1,1,0,0,0,3
10312,0,0,1,1,0,0,1,1,0,0,1,0,0
3946,1,1,1,1,0,0,1,1,0,1,1,1,3
6274,1,0,1,1,0,0,1,1,0,0,1,0,2
16359,1,0,1,1,0,0,1,1,0,1,1,1,2
7567,0,0,1,1,0,0,1,1,0,0,1,0,3
7582,1,0,1,1,0,0,1,1,0,1,0,1,3
12879,0,0,1,1,0,0,1,1,0,0,0,0,4
6489,1,1,0,1,0,0,1,1,0,1,1,1,3
5718,1,0,1,1,0,0,1,1,0,1,1,1,1
6418,1,0,1,1,0,0,1,1,0,0,1,1,3
8024,0,0,1,1,0,0,1,1,1,0,1,0,3
5019,0,0,1,1,0,0,1,1,1,0,1,0,0
2115,1,0,0,1,0,0,1,1,0,0,1,0,3
14535,0,0,1,1,0,0,1,1,0,0,1,0,1
9443,1,0,1,1,0,0,1,1,0,0,0,1,2
9344,0,0,1,1,0,0,1,1,0,0,1,0,1
15673,1,1,0,1,0,0,1,1,0,0,1,0,3
12187,1,0,1,1,0,0,1,1,0,0,1,1,3
2315,0,0,1,1,0,0,1,1,0,0,1,0,0
12579,1,0,1,1,0,0,1,1,0,0,1,1,4
16309,0,0,1,0,0,0,1,1,1,0,1,0,3
13573,0,0,1,1,0,0,1,1,0,0,1,0,3
12240,1,0,1,1,0,0,1,1,0,0,1,1,0
3337,1,0,1,1,0,0,1,0,0,0,1,0,0
11881,1,0,1,1,0,0,1,0,0,1,1,0,2
13714,0,0,1,1,0,0,1,1,1,0,1,0,0
18512,1,0,0,1,0,0,0,1,1,0,0,0,3
16627,0,0,1,1,1,0,1,1,1,0,1,0,0
5484,0,0,1,1,0,0,1,1,0,0,1,0,0
6268,1,0,1,1,0,0,1,1,0,0,1,1,3
18523,0,0,1,1,0,0,1,1,1,0,1,0,3
12277,0,1,1,1,0,0,1,1,1,0,1,1,2
11853,1,0,1,1,0,0,1,1,0,0,1,1,0
12991,0,1,1,1,0,0,1,1,1,0,1,1,0
13352,1,1,1,1,0,0,1,1,0,0,1,1,0
650,1,0,1,1,0,0,1,1,0,1,1,1,3
11387,1,0,1,1,0,0,1,1,0,0,1,1,0
6674,0,0,1,1,0,0,1,1,0,0,1,0,2
6294,1,0,1,1,0,0,1,1,0,1,1,1,0
10642,0,0,1,1,0,0,1,1,1,0,1,0,0
14548,1,0,1,1,0,0,1,1,0,1,1,1,3
9989,1,0,1,1,0,0,1,1,0,0,1,1,3
2136,1,0,1,1,0,0,1,1,0,1,1,0,0
5170,1,1,1,1,0,0,1,0,0,1,1,1,3
1842,1,0,1,1,0,0,1,1,0,1,1,1,2
4890,1,0,1,1,0,0,1,0,0,1,1,1,3
6848,1,0,1,1,0,0,1,1,0,0,1,1,2
17829,1,0,1,1,0,0,1,1,0,0,1,0,2
12848,1,0,0,1,0,0,1,1,0,0,1,0,0
15413,1,0,1,1,0,0,1,0,0,1,0,0,2
11171,0,0,1,1,1,0,1,1,1,0,1,0,2
3065,1,0,0,1,1,0,1,1,0,1,1,0,0
9396,1,1,1,1,0,0,1,1,0,1,1,1,3
1456,1,0,1,1,0,0,1,1,0,0,1,1,3
8445,1,0,1,1,0,0,1,1,0,0,1,0,1
1388,1,0,1,1,0,0,1,0,0,0,1,1,3
6277,1,0,1,1,0,0,1,1,0,1,1,1,2
1064,0,0,1,1,1,0,1,1,1,0,1,0,0
3897,0,0,1,1,0,0,1,1,0,0,1,0,0
6783,1,0,0,1,0,0,1,1,0,0,1,0,0
13057,0,0,1,1,0,0,1,1,0,0,1,1,0
2747,1,0,1,1,0,0,1,0,0,1,1,1,3
17118,1,0,0,1,0,0,1,1,0,0,1,0,0
2002,1,0,1,1,0,0,1,0,0,0,1,0,1
12787,1,0,1,1,0,0,1,1,0,0,1,1,2
3263,1,0,1,1,0,0,1,0,0,0,1,1,3
5860,1,0,1,1,0,0,1,1,0,0,1,1,2
3992,0,0,1,1,0,0,1,1,0,0,1,0,3
1808,1,1,1,1,0,0,1,1,0,1,1,1,2
9700,0,0,0,1,0,0,1,0,0,1,1,1,3
586,1,1,1,1,0,0,1,1,0,1,1,1,3
14410,1,0,0,1,0,0,1,1,0,0,1,1,3
12690,1,0,1,1,0,0,1,1,0,0,0,1,5
8296,0,1,1,1,0,0,1,1,1,0,1,1,3
7317,1,0,1,1,0,0,1,0,0,0,1,1,2
3596,1,0,1,1,0,0,1,0,0,0,1,1,3
15530,0,1,1,1,0,0,1,1,0,0,1,1,0
5654,1,0,1,1,0,0,1,1,0,1,1,0,3
17588,1,0,1,1,0,0,1,1,0,0,1,1,3
16258,0,0,1,1,0,0,1,1,0,0,1,0,3
14876,1,0,1,1,0,0,1,1,0,1,1,1,0
5331,0,0,1,1,0,0,1,1,0,0,1,0,3
12935,0,0,1,0,0,0,1,1,1,0,1,0,3
